VRF,PROTOCOL,NETWORK,MASK,DISTANCE,METRIC,TYPE,NEXT_HOP,INTERFACE,UPTIME
,S*,0.0.0.0,0,1,0,via,172.16.253.4,,03:50:30
,O,172.16.101.0,24,110,42,via,172.16.252.21,GigabitEthernet0/0/0/2,03:50:18
,O,172.16.101.0,24,110,42,via,172.16.252.29,GigabitEthernet0/0/0/3,03:50:18
,O,172.16.102.0,24,110,42,via,172.16.252.21,GigabitEthernet0/0/0/2,03:50:18
,O,172.16.102.0,24,110,42,via,172.16.252.29,GigabitEthernet0/0/0/3,03:50:18
,O,172.16.103.0,24,110,42,via,172.16.252.21,GigabitEthernet0/0/0/2,03:50:18
,O,172.16.103.0,24,110,42,via,172.16.252.29,GigabitEthernet0/0/0/3,03:50:18
,O,172.16.104.0,24,110,42,via,172.16.252.21,GigabitEthernet0/0/0/2,03:50:18
,O,172.16.104.0,24,110,42,via,172.16.252.29,GigabitEthernet0/0/0/3,03:50:18
,O,172.16.105.0,24,110,42,via,172.16.252.21,GigabitEthernet0/0/0/2,03:50:18
,O,172.16.105.0,24,110,42,via,172.16.252.29,GigabitEthernet0/0/0/3,03:50:18
,O,172.16.252.0,30,110,2,via,172.16.252.21,GigabitEthernet0/0/0/2,03:50:21
,O,172.16.252.4,30,110,2,via,172.16.252.29,GigabitEthernet0/0/0/3,03:50:18
,O,172.16.252.8,30,110,2,via,172.16.252.21,GigabitEthernet0/0/0/2,03:50:21
,O,172.16.252.12,30,110,2,via,172.16.252.29,GigabitEthernet0/0/0/3,03:50:18
,O,172.16.252.16,30,110,2,via,172.16.252.21,GigabitEthernet0/0/0/2,03:50:18
,O,172.16.252.16,30,110,2,via,172.16.252.29,GigabitEthernet0/0/0/3,03:50:18
,C,172.16.252.20,30,,,directly,connected,GigabitEthernet0/0/0/2,03:50:31
,L,172.16.252.22,32,,,directly,connected,GigabitEthernet0/0/0/2,03:50:31
,O,172.16.252.24,30,110,2,via,172.16.252.38,GigabitEthernet0/0/0/0,03:49:30
,O,172.16.252.24,30,110,2,via,172.16.253.3,GigabitEthernet0/0/0/1,03:49:30
,O,172.16.252.24,30,110,2,via,172.16.252.21,GigabitEthernet0/0/0/2,03:49:30
,C,172.16.252.28,30,,,directly,connected,GigabitEthernet0/0/0/3,03:50:31
,L,172.16.252.30,32,,,directly,connected,GigabitEthernet0/0/0/3,03:50:31
,O,172.16.252.32,30,110,2,via,172.16.252.38,GigabitEthernet0/0/0/0,03:49:30
,O,172.16.252.32,30,110,2,via,172.16.253.3,GigabitEthernet0/0/0/1,03:49:30
,O,172.16.252.32,30,110,2,via,172.16.252.29,GigabitEthernet0/0/0/3,03:49:30
,C,172.16.252.36,30,,,directly,connected,GigabitEthernet0/0/0/0,03:50:31
,L,172.16.252.37,32,,,directly,connected,GigabitEthernet0/0/0/0,03:50:31
,C,172.16.253.0,29,,,directly,connected,GigabitEthernet0/0/0/1,03:50:31
,L,172.16.253.2,32,,,directly,connected,GigabitEthernet0/0/0/1,03:50:31
,O E2,172.31.0.0,16,110,20,via,172.16.253.4,GigabitEthernet0/0/0/1,03:50:28
