VRF,PROTOCOL,TYPE,NETWORK,MASK,DISTANCE,METRIC,NEXTHOP_IP,NEXTHOP_IF,UPTIME,NEXTHOP_VRF,TAG,SEGID,TUNNELID,ENCAP
default,direct,,172.16.101.0,24,0,0,172.16.101.2,Vlan101,07:49:39,,,,,
default,hsrp,,172.16.101.1,32,0,0,172.16.101.1,Vlan101,07:49:18,,,,,
default,local,,172.16.101.2,32,0,0,172.16.101.2,Vlan101,07:49:39,,,,,
default,direct,,172.16.102.0,24,0,0,172.16.102.2,Vlan102,07:49:04,,,,,
default,hsrp,,172.16.102.1,32,0,0,172.16.102.1,Vlan102,07:48:27,,,,,
default,local,,172.16.102.2,32,0,0,172.16.102.2,Vlan102,07:49:04,,,,,
default,direct,,172.16.103.0,24,0,0,172.16.103.2,Vlan103,07:49:04,,,,,
default,hsrp,,172.16.103.1,32,0,0,172.16.103.1,Vlan103,07:48:22,,,,,
default,local,,172.16.103.2,32,0,0,172.16.103.2,Vlan103,07:49:04,,,,,
default,direct,,172.16.104.0,24,0,0,172.16.104.2,Vlan104,07:49:04,,,,,
default,hsrp,,172.16.104.1,32,0,0,172.16.104.1,Vlan104,07:48:22,,,,,
default,local,,172.16.104.2,32,0,0,172.16.104.2,Vlan104,07:49:04,,,,,
default,direct,,172.16.105.0,24,0,0,172.16.105.2,Vlan105,07:49:04,,,,,
default,hsrp,,172.16.105.1,32,0,0,172.16.105.1,Vlan105,07:48:22,,,,,
default,local,,172.16.105.2,32,0,0,172.16.105.2,Vlan105,07:49:04,,,,,
default,direct,,172.16.252.0,30,0,0,172.16.252.1,Eth1/3,07:49:43,,,,,
default,local,,172.16.252.1,32,0,0,172.16.252.1,Eth1/3,07:49:43,,,,,
default,direct,,172.16.252.4,30,0,0,172.16.252.5,Eth1/4,07:49:42,,,,,
default,local,,172.16.252.5,32,0,0,172.16.252.5,Eth1/4,07:49:42,,,,,
default,ospf-1,intra,172.16.252.8,30,110,41,172.16.252.2,Eth1/3,07:47:54,,,,,
default,ospf-1,intra,172.16.252.12,30,110,41,172.16.252.6,Eth1/4,07:48:53,,,,,
default,ospf-1,intra,172.16.252.16,30,110,41,172.16.252.2,Eth1/3,07:47:54,,,,,
default,ospf-1,intra,172.16.252.16,30,110,41,172.16.252.6,Eth1/4,07:47:54,,,,,
default,ospf-1,intra,172.16.252.20,30,110,41,172.16.252.2,Eth1/3,07:47:54,,,,,
default,ospf-1,intra,172.16.252.24,30,110,41,172.16.252.2,Eth1/3,07:47:54,,,,,
default,ospf-1,intra,172.16.252.28,30,110,41,172.16.252.6,Eth1/4,07:48:53,,,,,
default,ospf-1,intra,172.16.252.32,30,110,41,172.16.252.6,Eth1/4,07:48:53,,,,,
default,ospf-1,intra,172.16.252.36,30,110,42,172.16.252.2,Eth1/3,07:47:51,,,,,
default,ospf-1,intra,172.16.252.36,30,110,42,172.16.252.6,Eth1/4,07:47:51,,,,,
default,ospf-1,intra,172.16.253.0,29,110,42,172.16.252.2,Eth1/3,07:47:51,,,,,
default,ospf-1,intra,172.16.253.0,29,110,42,172.16.252.6,Eth1/4,07:47:51,,,,,
default,ospf-1,type-2,172.31.0.0,16,110,20,172.16.252.2,Eth1/3,07:47:51,,,,,
default,ospf-1,type-2,172.31.0.0,16,110,20,172.16.252.6,Eth1/4,07:47:51,,,,,
