VRF,PROTOCOL,TYPE,NETWORK,MASK,DISTANCE,METRIC,NEXTHOP_IP,NEXTHOP_IF,NEXTHOP_VRF,TAG,SEGID,TUNNELID,ENCAP
default,ospf-1,intra,172.16.101.0,24,110,81,172.16.252.10,Eth1/3,,,,,
default,ospf-1,intra,172.16.101.0,24,110,81,172.16.252.14,Eth1/4,,,,,
default,direct,,172.16.102.0,24,0,0,172.16.102.3,Vlan102,,,,,
default,hsrp,,172.16.102.1,32,0,0,172.16.102.1,Vlan102,,,,,
default,local,,172.16.102.3,32,0,0,172.16.102.3,Vlan102,,,,,
default,ospf-1,intra,172.16.252.0,30,110,41,172.16.252.10,Eth1/3,,,,,
default,ospf-1,intra,172.16.252.4,30,110,41,172.16.252.14,Eth1/4,,,,,
default,direct,,172.16.252.8,30,0,0,172.16.252.9,Eth1/3,,,,,
default,local,,172.16.252.9,32,0,0,172.16.252.9,Eth1/3,,,,,
default,direct,,172.16.252.12,30,0,0,172.16.252.13,Eth1/4,,,,,
default,local,,172.16.252.13,32,0,0,172.16.252.13,Eth1/4,,,,,
default,ospf-1,intra,172.16.252.16,30,110,41,172.16.252.10,Eth1/3,,,,,
default,ospf-1,intra,172.16.252.16,30,110,41,172.16.252.14,Eth1/4,,,,,
default,ospf-1,intra,172.16.252.20,30,110,41,172.16.252.10,Eth1/3,,,,,
default,ospf-1,intra,172.16.252.24,30,110,41,172.16.252.10,Eth1/3,,,,,
default,ospf-1,intra,172.16.252.28,30,110,41,172.16.252.14,Eth1/4,,,,,
default,ospf-1,intra,172.16.252.32,30,110,41,172.16.252.14,Eth1/4,,,,,
default,ospf-1,intra,172.16.252.36,30,110,42,172.16.252.10,Eth1/3,,,,,
default,ospf-1,intra,172.16.252.36,30,110,42,172.16.252.14,Eth1/4,,,,,
default,ospf-1,intra,172.16.253.0,29,110,42,172.16.252.10,Eth1/3,,,,,
default,ospf-1,intra,172.16.253.0,29,110,42,172.16.252.14,Eth1/4,,,,,
default,ospf-1,type-2,172.31.0.0,16,110,20,172.16.252.10,Eth1/3,,,,,
default,ospf-1,type-2,172.31.0.0,16,110,20,172.16.252.14,Eth1/4,,,,,
