VRF,PROTOCOL,TYPE,NETWORK,MASK,DISTANCE,METRIC,NEXTHOP_IP,NEXTHOP_IF,UPTIME,NEXTHOP_VRF,TAG,SEGID,TUNNELID,ENCAP
default,direct,,172.16.101.0,24,0,0,172.16.101.3,Vlan101,07:49:05,,,,,
default,hsrp,,172.16.101.1,32,0,0,172.16.101.1,Vlan101,07:48:44,,,,,
default,local,,172.16.101.3,32,0,0,172.16.101.3,Vlan101,07:49:05,,,,,
default,direct,,172.16.102.0,24,0,0,172.16.102.3,Vlan102,07:49:09,,,,,
default,hsrp,,172.16.102.1,32,0,0,172.16.102.1,Vlan102,07:48:48,,,,,
default,local,,172.16.102.3,32,0,0,172.16.102.3,Vlan102,07:49:09,,,,,
default,direct,,172.16.103.0,24,0,0,172.16.103.3,Vlan103,07:49:04,,,,,
default,hsrp,,172.16.103.1,32,0,0,172.16.103.1,Vlan103,07:48:43,,,,,
default,local,,172.16.103.3,32,0,0,172.16.103.3,Vlan103,07:49:04,,,,,
default,direct,,172.16.104.0,24,0,0,172.16.104.3,Vlan104,07:49:04,,,,,
default,hsrp,,172.16.104.1,32,0,0,172.16.104.1,Vlan104,07:48:43,,,,,
default,local,,172.16.104.3,32,0,0,172.16.104.3,Vlan104,07:49:04,,,,,
default,direct,,172.16.105.0,24,0,0,172.16.105.3,Vlan105,07:49:04,,,,,
default,hsrp,,172.16.105.1,32,0,0,172.16.105.1,Vlan105,07:48:43,,,,,
default,local,,172.16.105.3,32,0,0,172.16.105.3,Vlan105,07:49:04,,,,,
default,ospf-1,intra,172.16.252.0,30,110,41,172.16.252.10,Eth1/3,07:47:48,,,,,
default,ospf-1,intra,172.16.252.4,30,110,41,172.16.252.14,Eth1/4,07:48:57,,,,,
default,direct,,172.16.252.8,30,0,0,172.16.252.9,Eth1/3,07:49:13,,,,,
default,local,,172.16.252.9,32,0,0,172.16.252.9,Eth1/3,07:49:13,,,,,
default,direct,,172.16.252.12,30,0,0,172.16.252.13,Eth1/4,07:49:12,,,,,
default,local,,172.16.252.13,32,0,0,172.16.252.13,Eth1/4,07:49:12,,,,,
default,ospf-1,intra,172.16.252.16,30,110,41,172.16.252.10,Eth1/3,07:47:48,,,,,
default,ospf-1,intra,172.16.252.16,30,110,41,172.16.252.14,Eth1/4,07:47:48,,,,,
default,ospf-1,intra,172.16.252.20,30,110,41,172.16.252.10,Eth1/3,07:47:48,,,,,
default,ospf-1,intra,172.16.252.24,30,110,41,172.16.252.10,Eth1/3,07:47:48,,,,,
default,ospf-1,intra,172.16.252.28,30,110,41,172.16.252.14,Eth1/4,07:48:57,,,,,
default,ospf-1,intra,172.16.252.32,30,110,41,172.16.252.14,Eth1/4,07:48:57,,,,,
default,ospf-1,intra,172.16.252.36,30,110,42,172.16.252.10,Eth1/3,07:47:48,,,,,
default,ospf-1,intra,172.16.252.36,30,110,42,172.16.252.14,Eth1/4,07:47:48,,,,,
default,ospf-1,intra,172.16.253.0,29,110,42,172.16.252.10,Eth1/3,07:47:48,,,,,
default,ospf-1,intra,172.16.253.0,29,110,42,172.16.252.14,Eth1/4,07:47:48,,,,,
default,ospf-1,type-2,172.31.0.0,16,110,20,172.16.252.10,Eth1/3,07:47:48,,,,,
default,ospf-1,type-2,172.31.0.0,16,110,20,172.16.252.14,Eth1/4,07:47:48,,,,,
